Nodes: 2215 Edges: 4857
FromNodeId ToNodeId
jfoncea Hugo_Gutierrez_
SebastianRojasP Hugo_Gutierrez_
CRIGALVEZ gabrielboric
nataflaguer SenadorGuillier
ikike33 camila_vallejo
pzvaldes Hugo_Gutierrez_
felipepavezlerm Karolcariola
gustavoescobarp camila_vallejo
Lalyit Chile_Vamos_
saez_tamara Hugo_Gutierrez_
twiteroafta senadornavarro
gemmyfag GiorgioJackson
gemmyfag gabrielboric
RENO_MAYOR iallendebussi
CMellaGo NuevaMayoriacl
RCBahamondes Hugo_Gutierrez_
gemmyfag GiorgioJackson
gemmyfag gabrielboric
nonchordal Hugo_Gutierrez_
MatiasUribe_ Chile_Vamos_
MatiasUribe_ Chile_Vamos_
cpando12 Hugo_Gutierrez_
nonchordal gabrielboric
Claunubed camila_vallejo
nonchordal Hugo_Gutierrez_
Josealfonsosuar Hugo_Gutierrez_
JaimeAmpuero1 camila_vallejo
JaimeAmpuero1 camila_vallejo
JaimeAmpuero1 camila_vallejo
JaimeAmpuero1 camila_vallejo
SergioMartiMor senadornavarro
JaimeAmpuero1 camila_vallejo
Claudiozapador Hugo_Gutierrez_
jessymorin Hugo_Gutierrez_
aldebrito Hugo_Gutierrez_
carlos_fvaldes Hugo_Gutierrez_
JaimeAmpuero1 camila_vallejo
villalobospell camila_vallejo
boltonjorquera camila_vallejo
MejiaNarr GiorgioJackson
MejiaNarr gabrielboric
dgalarce iallendebussi
JaimeAmpuero1 camila_vallejo
lneculman Hugo_Gutierrez_
cas3500 GiorgioJackson
IsaRojas13 senadornavarro
fachitoskls GiorgioJackson
fachitoskls gabrielboric
AlexisCasanovaC camila_vallejo
AlexisCasanovaC camila_vallejo
fachitoskls GiorgioJackson
fachitoskls gabrielboric
anayrcayuljofre NuevaMayoriacl
winemaker1968 Hugo_Gutierrez_
MejiaNarr GiorgioJackson
MejiaNarr gabrielboric
IgoLautaro camila_vallejo
Usa_la_fuerza Hugo_Gutierrez_
Jorgevin1 camila_vallejo
ethelle18 camila_vallejo
BancadaPCIC Hugo_Gutierrez_
Oeduardo GiorgioJackson
Oeduardo gabrielboric
MejiaNarr GiorgioJackson
MejiaNarr gabrielboric
MejiaNarr camila_vallejo
MejiaNarr Karolcariola
IgoLautaro camila_vallejo
ethelle18 camila_vallejo
FranFernndez gabrielboric
rhbustamante senadornavarro
NuevaMayoriacl usach
AbuelalaX Hugo_Gutierrez_
VergaraLautaro Hugo_Gutierrez_
CLeivaI Karolcariola
CarlSanchez_ NuevaMayoriacl
Batalle NuevaMayoriacl
mombushera senadornavarro
Segegobafta NuevaMayoriacl
jsgumucio senadornavarro
IArchant camila_vallejo
javillegasgm NuevaMayoriacl
PatoSalinasSoto iallendebussi
elianita217 Hugo_Gutierrez_
PazOyarce NuevaMayoriacl
kmendoza53 Karolcariola
kmendoza53 GiorgioJackson
jsgumucio senadornavarro
lclaissac camila_vallejo
LyaGonzalez1 NuevaMayoriacl
CapitanaLorena NuevaMayoriacl
marceortegasaez NuevaMayoriacl
mombushera senadornavarro
Fuentes3A gabrielboric
